vrai_hop;rdrg;SI;cat;NAB;totalEUR;p5;p25;p50;p75;p95
0;173;3;2756;2000;21547;0.4;0.8;3.8;13;45.6
0;173;4;639;592;15047.8;0.7;5;14.5;30.7;96
0;174;1;1750;40;128.1;0.3;0.7;2.3;4.9;10.1
0;174;2;3336;199;923.4;0.3;1.1;3.4;6.3;14
0;174;3;753;207;1590.5;0.8;2.9;6;9.7;19
0;174;4;489;305;5087;0.6;4.9;10.3;18.1;48.6
0;175;1;11387;388;717;0.4;0.4;0.8;1.4;7
0;175;2;8228;272;1027.8;0.4;0.8;1.7;4.9;13.4
0;175;3;1733;294;2047;0.4;1.2;4.9;10.3;20.1
0;175;4;358;212;2974.7;0.9;5.1;9.2;16.2;43.3
0;176;1;1374;1186;1108.9;0.4;0.4;0.5;0.8;2.4
0;176;2;1254;1061;1285.4;0.4;0.4;0.6;0.8;5
0;176;3;211;185;488.5;0.4;0.4;0.8;2.3;12.3
0;176;4;28;22;154.6;0.4;1.5;5.5;12.3;16.5
0;177;1;353;308;370.4;0.4;0.4;0.8;1.1;3.5
0;177;2;386;319;861.9;0.4;0.4;0.8;1.7;11.1
0;177;3;117;105;669.2;0.4;0.6;0.8;4.7;22.9
0;177;4;32;30;628.4;0.5;5.3;8.9;25.6;98.5
0;178;1;56;28;164.7;0.3;1.7;4.4;7.7;14
0;178;2;187;121;1678.1;0.4;2;7.7;15.5;38
0;178;3;141;113;2195.4;0.4;5.1;13.4;24.8;73.3
0;178;4;33;32;921.6;1.2;7.1;20.9;35.6;112
0;179;1;4408;366;487.6;0.3;0.4;0.8;0.8;4.4
0;179;2;562;122;442.7;0.3;0.4;0.8;3.4;16
0;179;3;35;18;237.5;0.4;0.9;9.1;18;68.8
0;179;4;6;4;41.3;1.8;2.5;4;18.1;31.4
0;180;1;167;70;851.1;0.4;0.8;4.4;15.5;56.5
0;180;2;229;130;1465;0.4;2;7.1;15.2;42.1
0;180;3;340;202;2351.7;0.4;0.7;5.7;15.3;40
0;180;4;185;155;3812.4;0.4;5.8;16;32;82.2
0;190;1;1719;107;682.8;0.3;1.5;3.7;8;22
0;190;2;4846;639;4398.3;0.6;2;4.7;8.4;19.7
0;190;3;2024;885;8201.2;0.9;3.4;7.1;12.3;25
0;190;4;1140;826;12426.1;0.9;4.8;10.3;18.6;43.5
0;191;1;3719;147;329.6;0.4;0.4;0.9;2.5;8.6
0;191;2;3061;194;912.6;0.4;0.6;2.4;6.3;15.1
0;191;3;2507;544;4311.8;0.4;2;5.4;10.5;22.1
0;191;4;310;228;4353.2;0.9;4.6;9.8;21.1;62
0;192;1;9387;99;297.1;0.3;0.6;1.1;4.3;10.6
0;192;2;11668;286;1162.8;0.4;1;2.6;5.4;13.1
0;192;3;883;96;654.6;0.6;2.6;4.7;10.1;17.1
0;192;4;78;45;864.3;1.3;5;9.4;21.9;66.6
0;193;1;7;7;486.4;0.3;2.1;93.9;117.5;158.3
0;193;2;59;54;3822;3.5;14.7;61;110.4;237.8
0;193;3;94;92;6276.3;3;11.3;51.9;100.4;194.3
0;193;4;68;68;5022.4;4.6;29.6;69;110.3;158.5
0;194;1;1210;205;1387.7;0.7;2.5;5.7;9;17
0;194;2;8780;2360;19156.1;0.9;3.6;6.7;10;21
0;194;3;7904;3992;43309.6;1;4.6;8;13.6;30.1
0;194;4;1897;1476;25569.5;1.1;6;11.6;21;52.7
0;195;1;247;30;243;0.9;3.3;6.3;10;22.6
0;195;2;322;74;619.6;1;3.5;5.9;12.3;22
0;195;3;389;113;1369.8;0.9;3.4;7.5;13.7;43.5
0;195;4;61;42;952.4;5.1;11.4;18.1;29.4;49.1
0;196;1;183;2;1.8;0.3;0.3;0.9;1.4;1.4
0;196;2;173;18;31.8;0.3;0.9;1.1;2;6
0;196;3;198;40;279.6;0.3;0.7;2.6;8.4;33.1
0;196;4;213;150;1415.1;0.6;2.3;5.4;9.7;25.6
0;197;1;1390;186;1094.4;0.4;0.8;3.4;6.9;16.6
0;197;2;2536;511;4163.5;0.4;1.6;5.5;10.5;25.2
0;197;3;1505;530;6281.7;0.8;3.4;8;14.5;38
0;197;4;285;202;4112.8;1;5.5;12.9;26.3;59.2
0;198;1;932;39;287.3;0.3;1.4;3.2;9.7;25.6
0;198;2;1855;128;891.5;0.5;2;4.9;8.9;23
0;198;3;403;108;1038;0.5;3;6.9;11;26.3
0;198;4;82;59;1017.9;1.1;6.1;10.4;23.2;56.9
0;199;1;952;40;147.3;0.5;1;2.5;5.8;10.4
0;199;2;1638;143;744.6;0.8;2;3.3;7.1;15.6
0;199;3;367;110;906.3;0.7;3;6.9;12;21
0;199;4;36;24;335.6;1.7;4.9;8.3;20.6;29
0;200;1;224;27;359.7;0.4;0.8;1.3;6;115
0;200;2;600;82;578.7;0.3;1;5.1;9.1;21
0;200;3;332;125;1653.1;1;4.2;8;13.3;47.9
